,Player,G,MP,FG,FGA,3P,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FT%,FG%,d_FG%,d_FT%
80,Jevon Carter,19.0,279.0,21.0,73.0,0.9473684210526315,3.0,4.0,4.0,29.0,1.736842105263158,1.263157894736842,0.42105263157894735,0.3157894736842105,0.3157894736842105,28.0,3.3157894736842106,75.0,28.767123287671232,-325.94728993434256,-0.15565932879012223
81,Wendell Carter Jr.,20.0,561.0,100.0,196.0,1.55,29.0,44.0,41.0,147.0,9.4,2.35,0.65,0.7,1.45,53.0,13.0,65.9090909090909,51.02040816326531,673.1985354911096,-265.1410704813349
82,Alex Caruso,19.0,560.0,50.0,121.0,0.8947368421052632,30.0,34.0,15.0,58.0,3.8421052631578947,3.9473684210526314,2.3684210526315788,0.42105263157894735,1.3157894736842106,56.0,7.7368421052631575,88.23529411764706,41.32231404958678,-148.30543793837165,395.5022302415105
83,Willie Cauley-Stein,17.0,167.0,14.0,29.0,0.058823529411764705,1.0,2.0,10.0,25.0,2.0588235294117645,0.5294117647058824,0.35294117647058826,0.058823529411764705,0.29411764705882354,14.0,1.7647058823529411,50.0,48.275862068965516,55.82414964855825,-25.05188644293004
84,Justin Champagnie,8.0,29.0,2.0,7.0,0.0,2.0,2.0,5.0,4.0,1.125,0.125,0.0,0.0,0.0,5.0,0.75,100.0,28.571428571428573,-31.43398847385128,49.89622711413992
85,Chris Chiozza,8.0,79.0,9.0,25.0,0.875,1.0,1.0,1.0,6.0,0.875,1.25,0.625,0.0,0.75,9.0,3.25,100.0,36.0,-74.59580527518791,24.94811355706996
86,Josh Christopher,11.0,84.0,13.0,34.0,0.2727272727272727,4.0,6.0,2.0,8.0,0.9090909090909091,1.0,0.5454545454545454,0.0,0.6363636363636364,5.0,3.0,66.66666666666667,38.23529411764706,-78.69067297919301,-33.54087910505348
87,Brandon Clarke,16.0,257.0,49.0,83.0,0.0,17.0,25.0,30.0,40.0,4.375,1.375,0.375,0.75,0.375,28.0,7.1875,68.0,59.036144578313255,722.6383667279931,-119.88206952981069
88,Jordan Clarkson,19.0,471.0,99.0,272.0,2.4210526315789473,36.0,42.0,13.0,45.0,3.0526315789473686,2.1578947368421053,0.6842105263157895,0.2631578947368421,1.4736842105263157,29.0,14.736842105263158,85.71428571428571,36.39705882352941,-781.2450344976552,383.846373768804
89,Nicolas Claxton,4.0,76.0,11.0,20.0,0.0,4.0,9.0,3.0,19.0,5.5,0.75,0.0,1.0,0.75,5.0,6.5,44.44444444444444,55.0,117.82734910810366,-122.42976799394239
90,Amir Coffey,14.0,173.0,10.0,34.0,0.5714285714285714,16.0,17.0,3.0,18.0,1.5,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.35714285714285715,12.0,3.142857142857143,94.11764705882354,29.41176470588235,-148.76658102471862,305.0521698542959
91,John Collins,20.0,635.0,132.0,229.0,1.0,52.0,66.0,35.0,123.0,7.9,2.2,0.75,1.2,1.1,55.0,16.8,78.78787878787878,57.64192139737991,1762.6618137513922,194.27160193733454
92,Mike Conley,17.0,486.0,85.0,172.0,2.5294117647058822,24.0,28.0,4.0,30.0,2.0,5.470588235294118,1.1764705882352942,0.29411764705882354,1.8235294117647058,33.0,13.941176470588236,85.71428571428571,49.41860465116279,436.0654566387289,255.89758251253602
93,Pat Connaughton,20.0,577.0,87.0,176.0,2.7,13.0,19.0,17.0,84.0,5.05,1.5,0.95,0.4,1.05,30.0,12.05,68.42105263157895,49.43181818181818,447.47539749136513,-86.20083954756424
94,Tyler Cook,1.0,12.0,2.0,3.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0,100.0,66.66666666666667,44.75648771662492,49.89622711413992
95,Sharife Cooper,5.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.4,,25.0,-19.288422808354213,
96,Petr Cornelie,5.0,21.0,2.0,7.0,0.0,0.0,0.0,5.0,3.0,1.6,0.6,0.0,0.0,0.4,3.0,0.8,,28.571428571428573,-31.43398847385128,
97,Robert Covington,20.0,538.0,49.0,116.0,1.75,3.0,3.0,8.0,84.0,4.6,1.25,1.1,1.05,0.9,39.0,6.8,100.0,42.241379310344826,-100.30513140245996,74.84434067120988
98,Torrey Craig,21.0,372.0,51.0,99.0,0.6190476190476191,17.0,22.0,29.0,52.0,3.857142857142857,1.0,0.47619047619047616,0.3333333333333333,0.6190476190476191,40.0,6.285714285714286,77.27272727272727,51.515151515151516,368.56316404666245,37.754294106552834
99,Jae Crowder,19.0,527.0,57.0,148.0,1.7894736842105263,20.0,24.0,8.0,80.0,4.631578947368421,1.368421052631579,1.263157894736842,0.5263157894736842,0.8421052631578947,44.0,8.842105263157896,83.33333333333333,38.513513513513516,-329.16982980591973,165.62893780806576
100,Jarrett Culver,5.0,40.0,8.0,14.0,0.4,4.0,6.0,1.0,4.0,1.0,0.8,0.2,0.0,0.4,0.0,4.4,66.66666666666667,57.142857142857146,102.83547467602347,-33.54087910505348
101,Cade Cunningham,14.0,435.0,65.0,196.0,1.7142857142857142,26.0,30.0,15.0,72.0,6.214285714285714,5.0,1.3571428571428572,0.42857142857142855,3.357142857142857,35.0,12.857142857142858,86.66666666666667,33.16326530612245,-723.1352376450648,301.9842858171524
102,Seth Curry,17.0,565.0,97.0,193.0,2.176470588235294,39.0,42.0,9.0,43.0,3.0588235294117645,2.5294117647058822,0.8235294117647058,0.11764705882352941,1.7647058823529411,36.0,15.882352941176471,92.85714285714286,50.259067357512954,579.1525212683979,694.4050001543
103,Stephen Curry,18.0,615.0,167.0,362.0,5.444444444444445,79.0,84.0,10.0,95.0,5.833333333333333,6.888888888888889,1.6111111111111112,0.5555555555555556,3.2777777777777777,32.0,28.38888888888889,94.04761904761905,46.13259668508287,307.9770374136864,1500.6628757704318
